formula_id,version,note
FRM-XP-001,0.1.1,v0.1.1 — clarification: Evidence XP is activity recognition once
FRM-LVL-001,0.1.0,
FRM-MOM-001,0.1.0,
FRM-MOM-002,0.2.0,v0.2.0 — buffered league placement candidate (Alt B/C)
FRM-MAT-001,0.2.0,v0.2.0 — Mission/Stage contexts; soft first practical (CAL-FND-001)
FRM-MST-001,0.1.0,
FRM-MST-002,0.1.0,
FRM-MST-003,0.1.0,
FRM-BRD-001,0.1.0,
POL-TRU-001,0.1.0,
TPL-TTL-001,0.1.0,
TPL-TTL-002,0.1.0,
FRM-PRS-001,0.1.0,
POL-PRS-001,0.1.0,
POL-ACH-001,0.1.0,
FRM-LDB-001,0.1.0,
FRM-LDB-002,0.1.0,
FRM-LDB-003,0.1.0,
FRM-LDB-004,0.1.0,
FRM-LDB-005,0.1.0,
FRM-LDB-006,0.1.0,
POL-POP-001,0.1.0,
POL-COR-001,0.1.0,
POL-FRS-001,0.1.0,
