persona_id,name,plan,age,lang,profile,xp,flight_level,momentum_score,momentum_league,active_weeks,weekly_scores,maturity_index,maturity_rank,cmi,rmi,route_proven,route_proven_count,breadth_index,breadth_descriptor,trust_state,title_eligibility,prestige_pei,prestige_nomination,achievements,achievement_ids,cxw,sex,team_contrib,practical,capstone,missions,integrity_hold,clusters,horizons,ldb_mastery_eligible,ldb_momentum_eligible,expected,issues,result
PER-001,New Open Flight learner,OpenFlight,adult,en,new,280,2,54.17,Silver,6,75.0|60.0|50.0|50.0|0.0|40.0|50.0|0.0,25.0,Hatchling,66.67,49.0,0,0,22.5,Focused,NORMAL,NOT_ELIGIBLE,29.95,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,1,0,5,0,2,BLD|LED,0,1,{'baseline': 'ok'},,PASS
PER-002,Steady working learner,WingPass,adult,en,steady,850,4,67.5,Gold,7,75.0|75.0|75.0|80.0|0.0|20.0|40.0|60.0,63.75,Pathfinder,83.33,83.33,1,1,50.75,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,72.9,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,3,1,5,0,6,LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
PER-003,High-activity low-Evidence,FlightPass,adult,en,high_act_low_ev,740,4,58.33,Silver,8,50.0|60.0|50.0|60.0|50.0|60.0|60.0|60.0,7.5,Hatchling,0.0,0.0,0,0,70.0,Integrated,NORMAL,NOT_ELIGIBLE,20.0,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-LRN-001,0,0,0,0,0,18,0,9,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS
PER-004,Low-activity high-Evidence,OpenFlight,adult,en,low_act_high_ev,1015,5,63.33,Gold,8,75.0|50.0|50.0|50.0|50.0|80.0|75.0|50.0,63.75,Pathfinder,100.0,100.0,1,1,40.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,75.9,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,8,1,2,0,4,LED|OPR|PRT,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS
PER-005,Experienced recognition Evidence,WingPass,adult,en,experienced,1135,5,68.33,Gold,8,65.0|75.0|50.0|60.0|60.0|20.0|65.0|85.0,86.25,Vanguard,100.0,100.0,1,2,47.5,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,82.5,ELIGIBLE_ASCENDANT_NOMINATION,8,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001|ACH-TEAM-001,0,1,3,7,1,4,0,6,BLD|OPR,1,1,{'baseline': 'ok'},,PASS
PER-006,Expedition subscriber low learning,Expedition,adult,en,paid_idle,0,1,0.0,Iron,0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0,0.0,Hatchling,0.0,0.0,0,0,0.0,Focused,UNESTABLISHED,NOT_ELIGIBLE,1.5,NOT_ELIGIBLE,0,,0,0,0,0,0,0,0,0,,0,0,"{'xp': '0_or_near', 'momentum': 'Iron', 'mastery': 'none', 'route_proven': 'no'}",,PASS
PER-007,Merit Grant learner,MeritRoute,adult,en,merit,1075,5,70.0,Gold,8,50.0|60.0|85.0|60.0|60.0|70.0|60.0|85.0,66.25,Specialist,80.0,80.0,1,1,50.75,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,72.15,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,3,2,1,6,0,6,LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
PER-008,Returning after inactivity,OpenFlight,adult,ar,returning,620,4,73.33,Gold,6,60.0|0.0|0.0|65.0|85.0|70.0|85.0|75.0,47.5,Scout,86.67,49.0,0,0,43.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,57.95,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-RET-001|ACH-TEAM-001,0,0,2,4,0,8,0,5,BLD|LED|OPR,0,1,{'baseline': 'ok'},,PASS
PER-009,Minor Arabic-first,OpenFlight,minor,ar,minor_ar,485,3,68.33,Gold,7,65.0|0.0|40.0|50.0|85.0|75.0|75.0|60.0,40.0,Scout,83.33,49.0,0,0,43.75,Expanding,NORMAL,NOT_ELIGIBLE,43.7,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,3,0,7,0,5,BLD|LED|PRT,0,1,{'baseline': 'ok'},,PASS
PER-010,Accessibility compressed schedule,FlightPass,adult,en,a11y_compressed,330,3,44.17,Bronze,5,75.0|50.0|0.0|40.0|0.0|0.0|40.0|60.0,37.5,Scout,83.33,49.0,0,0,22.5,Focused,NORMAL,NOT_ELIGIBLE,39.45,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,3,0,2,0,2,BLD|OPR,0,1,{'baseline': 'ok'},,PASS
PER-011,Team passenger weak contribution,WingPass,adult,en,team_passenger,250,2,38.33,Bronze,5,40.0|50.0|50.0|0.0|0.0|50.0|0.0|40.0,22.5,Hatchling,66.67,49.0,0,0,33.75,Expanding,NORMAL,NOT_ELIGIBLE,32.2,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,1,0,3,0,3,BLD|LED|OPR,0,1,{'full_mastery_from_team': 'no'},,PASS
PER-012,Strong Team contributor,WingPass,adult,en,team_strong,1265,5,62.5,Gold,8,60.0|60.0|60.0|60.0|20.0|70.0|20.0|65.0,66.25,Specialist,86.0,86.0,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,80.2,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,8,4,1,3,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS
PER-013,Integrity review Evidence,OpenFlight,adult,en,integrity,400,3,60.0,Gold,7,50.0|50.0|85.0|50.0|75.0|50.0|50.0|0.0,40.0,Scout,83.33,49.0,0,0,38.75,Expanding,NORMAL,NOT_ELIGIBLE,42.7,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,3,0,5,0,4,BLD|LED|PRT,0,1,{'baseline': 'ok'},,PASS
PER-014,Community-popular weak Evidence,FlightPass,adult,en,popular_weak,255,2,44.17,Bronze,6,65.0|50.0|50.0|0.0|10.0|0.0|40.0|50.0,30.0,Hatchling,70.0,49.0,0,0,50.0,Multi-Horizon,NORMAL,NOT_ELIGIBLE,37.95,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-TEAM-001,0,0,1,1,0,5,0,5,BLD|LED|OPR|PRT,0,1,"{'mastery_from_popularity': 'no', 'prestige_from_popularity': 'no'}",,PASS
